Fecha,Semestre,Rival,Goles Newells,Goles rival,Resultado,Condición,Resultado num,Entrenador,Idolatría,Técnico interino?,Presidente
2012-02-11,1° 2012,Estudiantes LP,1,1,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-02-19,1° 2012,Argentinos Jrs,0,1,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-02-26,1° 2012,Belgrano,0,2,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-03-04,1° 2012,Colón,0,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-03-11,1° 2012,Atlético Rafaela,1,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-03-17,1° 2012,Vélez Sarsfield,1,1,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-03-25,1° 2012,Racing Club,2,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-04-01,1° 2012,Godoy Cruz,1,1,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-04-08,1° 2012,Banfield,3,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-04-15,1° 2012,Arsenal,1,1,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-04-22,1° 2012,All Boys,1,1,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-04-29,1° 2012,Olimpo,1,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-05-06,1° 2012,Unión,3,1,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-05-12,1° 2012,Tigre,3,1,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-05-20,1° 2012,San Lorenzo,2,3,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-05-27,1° 2012,Independiente,2,0,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-06-10,1° 2012,San Martín (SJ),0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-06-16,1° 2012,Lanús,0,1,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-06-24,1° 2012,Lanús,0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-08-04,2° 2012,Independiente,0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-08-13,2° 2012,Lanús,0,1,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-08-20,2° 2012,San Martín (SJ),2,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-08-26,2° 2012,Belgrano,0,0,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-09-02,2° 2012,Estudiantes LP,1,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-09-09,2° 2012,River Plate,3,3,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-09-16,2° 2012,San Lorenzo,1,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-09-22,2° 2012,Colón,1,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-09-30,2° 2012,Tigre,2,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-10-15,2° 2012,Vélez Sarsfield,0,1,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-10-21,2° 2012,Racing Club,0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-10-28,2° 2012,Arsenal,2,0,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-11-04,2° 2012,Godoy Cruz,1,1,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-11-11,2° 2012,Quilmes,0,0,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-11-18,2° 2012,Boca Juniors,0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-11-25,2° 2012,All Boys,1,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-12-02,2° 2012,Unión,1,2,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-12-05,2° 2012,Atlético Rafaela,0,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2012-12-09,2° 2012,Argentinos Jrs,0,1,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-02-10,1° 2013,Independiente,1,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-02-14,1° 2013,Olimpia (PAR),3,1,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-02-16,1° 2013,Lanús,0,3,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-02-21,1° 2013,Dep. Lara (VEN),2,1,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-02-24,1° 2013,San Martín (SJ),0,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-03,1° 2013,Belgrano,2,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-05,1° 2013,Univ. de Chile,1,2,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-10,1° 2013,Estudiantes LP,2,4,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-12,1° 2013,Univ. de Chile,0,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-17,1° 2013,River Plate,1,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-03-31,1° 2013,San Lorenzo,0,1,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-04,1° 2013,Dep. Lara (VEN),3,1,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-07,1° 2013,Colón,1,2,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-11,1° 2013,Olimpia (PAR),4,1,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-14,1° 2013,Tigre,1,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-20,1° 2013,Vélez Sarsfield,3,1,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-24,1° 2013,Vélez Sarsfield (Libert),0,1,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-04-28,1° 2013,Racing Club,3,4,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-05,1° 2013,Arsenal,1,1,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-11,1° 2013,Godoy Cruz,1,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-15,1° 2013,Vélez Sarsfield (Libert),1,2,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-19,1° 2013,Quilmes,1,1,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-23,1° 2013,Boca Juniors (Libert),0,0,Empate,Visitante,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-26,1° 2013,Boca Juniors,4,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-05-30,1° 2013,Boca Juniors (Libert),0,0,Empate,Local,1,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-06-02,1° 2013,All Boys,2,1,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-06-10,1° 2013,Unión,5,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-06-16,1° 2013,Atlético Rafaela,0,3,Victoria,Visitante,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-06-19,1° 2013,Argentinos Jrs,0,1,Derrota,Local,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-06-23,1° 2013,Lanús,1,0,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-07-03,2° 2013,Atlético Mineiro,2,0,Victoria,Local,3,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-07-10,2° 2013,Atlético Mineiro,2,0,Derrota,Visitante,0,"Gerardo ""Tata"" Martino",Ídolo,Efectivo,Guillermo Lorente
2013-08-04,2° 2013,Boca Juniors,2,3,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-08-11,2° 2013,Gimnasia LP,3,0,Victoria,Local,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-08-17,2° 2013,Belgrano,0,0,Empate,Visitante,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-08-24,2° 2013,Rafaela,0,2,Derrota,Local,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-09-01,2° 2013,Estudiantes LP,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-09-08,2° 2013,Vélez Sarsfield,0,3,Derrota,Local,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-09-15,2° 2013,Olimpo,1,2,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-09-22,2° 2013,Racing Club,1,0,Victoria,Local,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-09-29,2° 2013,Argentinos Jrs,0,0,Empate,Visitante,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-10-06,2° 2013,Quilmes,2,0,Victoria,Local,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-10-13,2° 2013,River Plate,0,1,Victoria,Visitante,3,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-10-20,2° 2013,Rosario Central,2,1,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-10-25,2° 2013,Godoy Cruz,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-11-03,2° 2013,Colón,2,2,Empate,Visitante,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-11-10,2° 2013,San Lorenzo,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-11-16,2° 2013,Tigre,2,1,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-11-23,2° 2013,Arsenal,1,1,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-11-30,2° 2013,All Boys,3,1,Derrota,Visitante,0,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2013-12-07,2° 2013,Lanús,2,2,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
2014-02-09,1° 2014,Boca Juniors,0,0,Empate,Local,1,Alfredo Berti,Ídolo,Efectivo,Guillermo Lorente
