Fecha,Semestre,Rival,Goles Newells,Goles rival,Resultado,Condición,Entrenador,Ídolo?,Técnico interino?,Presidente,Fui a la cnacha?
2019-09-28,2° 2019,Boca Juniors,1,1,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-10-04,2° 2019,Banfield,0,0,Empate,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,1
2019-10-19,2° 2019,Patronato,1,3,Victoria,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-10-29,2° 2019,Gimnasia LP,0,4,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-11-03,2° 2019,Def. y Justicia,2,0,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-11-10,2° 2019,Talleres,1,0,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-11-25,2° 2019,Argentinos Jrs,1,0,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-11-30,2° 2019,River Plate,2,3,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2019-12-07,2° 2019,Atlético Tucumán,2,2,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-01-25,1° 2020,Arsenal,1,1,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-02-03,1° 2020,San Lorenzo,1,0,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-02-08,1° 2020,Estudiantes LP,0,0,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-02-15,1° 2020,Lanús,1,1,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-02-22,1° 2020,Colón,4,0,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,1
2020-02-28,1° 2020,Racing Club,1,1,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-03-08,1° 2020,Godoy Cruz,0,2,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-03-15,1° 2020,Central Córdoba (Copa LP),1,2,Victoria,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-10-30,2° 2020,Talleres (Copa LP),3,1,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-11-08,2° 2020,Boca Juniors (Copa LP),0,2,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-11-14,2° 2020,Lanús (Copa LP),2,4,Victoria,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-11-23,2° 2020,Talleres (Copa LP),1,1,Empate,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-11-29,2° 2020,Boca Juniors (Copa LP),2,0,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-12-06,2° 2020,Lanús (Copa LP),3,1,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-12-12,2° 2020,Estudiantes LP,1,0,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-12-19,2° 2020,Godoy Cruz,0,3,Victoria,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2020-12-27,2° 2020,Central Córdoba (SdE),3,1,Victoria,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-02-13,1° 2021,Vélez Sarsfield,1,0,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-02-21,1° 2021,Boca Juniors,0,1,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-02-27,1° 2021,Talleres,2,2,Empate,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-03-05,1° 2021,Independiente,1,2,Derrota,Local,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-03-13,1° 2021,Def. y Justicia,4,0,Derrota,Visitante,Frank Darío Kudelka,0,0,Eduardo Bermúdez,0
2021-03-20,1° 2021,Unión,0,0,Empate,Local,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-03-29,1° 2021,Atlético Tucumán,2,2,Empate,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-04,1° 2021,Huracán,2,2,Empate,Local,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-12,1° 2021,Lanús,1,3,Victoria,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-17,1° 2021,Patronato,2,0,Victoria,Local,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-20,1° 2021,At. Goianiense (Sud),0,0,Empate,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-26,1° 2021,Gimnasia LP,2,1,Derrota,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-04-29,1° 2021,Libertad (Sud),1,3,Derrota,Local,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-05-02,1° 2021,Rosario Central,3,0,Derrota,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-05-04,1° 2021,Palestino (Sud),0,1,Victoria,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-05-13,1° 2021,Libertad (Sud),1,0,Derrota,Visitante,"Germán ""Mono"" Burgos",0,0,Eduardo Bermúdez,0
2021-07-17,2° 2021,Talleres,3,2,Victoria,Local,"Fernando ""Negro"" Gamboa",1,0,Eduardo Bermúdez,0
2021-05-20,2° 2021,Palestino (Sud),3,1,Victoria,Local,"Fernando ""Negro"" Gamboa",1,0,Eduardo Bermúdez,0
2021-05-25,2° 2021,At. Goianiense (Sud),1,1,Empate,Local,"Fernando ""Negro"" Gamboa",1,0,Eduardo Bermúdez,0
2021-07-17,2° 2021,Talleres,3,2,Victoria,Local,"Fernando ""Negro"" Gamboa",1,0,Eduardo Bermúdez,0
2021-08-22,2° 2021,Rosario Central,1,1,Empate,Local,"Fernando ""Negro"" Gamboa",1,0,Eduardo Bermúdez,0
2021-11-24,2° 2021,Central Córdoba (SdE),1,0,Victoria,Local,"Fernando ""Negro"" Gamboa",1,0,Ignacio Astore,0
2021-11-30,2° 2021,Boca Juniors,0,0,Empate,Visitante,"Fernando ""Negro"" Gamboa",1,0,Ignacio Astore,0
2021-12-12,2° 2021,San Lorenzo,3,2,Derrota,Visitante,"Fernando ""Negro"" Gamboa",1,0,Ignacio Astore,0
2022-02-10,1° 2022,Def. y Justicia,1,0,Victoria,Local,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-03-20,1° 2022,Rosario Central,0,1,Victoria,Visitante,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-04-20,1° 2022,Banfield,1,0,Victoria,Local,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-04-27,1° 2022,San Lorenzo,1,2,Derrota,Local,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-05-08,1° 2022,Gimnasia LP,3,1,Derrota,Visitante,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-06-16,1° 2022,Argentinos Jrs,1,0,Victoria,Local,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-07-21,2° 2022,Rosario Central,1,0,Derrota,Visitante,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-10-16,2° 2022,Boca Juniors,2,0,Victoria,Local,Javier Sanguinetti,0,0,Ignacio Astore,0
2022-10-24,2° 2022,Barracas Central,1,1,Empate,Visitante,Javier Sanguinetti,0,0,Ignacio Astore,0
2023-01-29,1° 2023,Platense,2,2,Empate,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-02-03,1° 2023,Vélez Sarsfield,1,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-02-11,1° 2023,Def. y Justicia,1,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-02-18,1° 2023,Banfield,2,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-02-26,1° 2023,Instituto,3,1,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-03-04,1° 2023,Barracas Central,1,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-03-12,1° 2023,Colón,1,1,Empate,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-03-20,1° 2023,San Lorenzo,1,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-03-31,1° 2023,Estudiantes LP,3,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-04,1° 2023,Audax Italiano (Sud),0,1,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-09,1° 2023,Rosario Central,0,0,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-12,1° 2023,Racing Club,0,1,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-16,1° 2023,River Plate,0,1,Derrota,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-18,1° 2023,Blooming (Sud),3,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-22,1° 2023,Belgrano,1,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-04-28,1° 2023,Argentinos Jrs,0,0,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-02,1° 2023,Santos (Sud),1,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-07,1° 2023,Tigre,2,2,Empate,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-13,1° 2023,Arsenal,2,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-20,1° 2023,Lanús,1,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-24,1° 2023,Blooming (Sud),2,3,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-05-28,1° 2023,Godoy Cruz,2,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-06-06,1° 2023,Santos (Sud),1,2,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-06-12,1° 2023,Unión,1,1,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-06-23,1° 2023,Huracán,1,1,Empate,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-06-29,1° 2023,Audax Italiano (Sud),1,1,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-03,2° 2023,Gimnasia LP,2,2,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-07,2° 2023,Central Córdoba (SdE),2,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-11,2° 2023,Independiente,0,2,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-17,2° 2023,Atlético Tucumán,0,0,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-23,2° 2023,Boca Juniors,2,1,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-07-28,2° 2023,Talleres,1,1,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-08-01,2° 2023,Corinthians (Sud),2,1,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-08-08,2° 2023,Corinthians (Sud),0,0,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-08-21,2° 2023,Central Córdoba (SdE),2,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-08-26,2° 2023,Lanús,1,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-09-02,2° 2023,Belgrano,1,1,Empate,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-09-16,2° 2023,Unión,1,1,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-09-20,2° 2023,Racing Club,2,1,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-09-24,2° 2023,Estudiantes LP,0,1,Derrota,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-09-30,2° 2023,Rosario Central,1,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-10-07,2° 2023,San Lorenzo,0,3,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-10-20,2° 2023,Tigre,0,2,Derrota,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-10-26,2° 2023,Godoy Cruz,2,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-10-30,2° 2023,Platense,0,0,Empate,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-11-05,2° 2023,Sarmiento,0,1,Victoria,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-11-12,2° 2023,Boca Juniors,1,0,Derrota,Visitante,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2023-11-27,2° 2023,Def. y Justicia,3,0,Victoria,Local,"Gabriel ""Gringo"" Heinze",1,0,Ignacio Astore,0
2024-01-25,1° 2024,Central Córdoba (SdE),0,1,Victoria,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-01-30,1° 2024,Lanús,0,2,Victoria,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-02-04,1° 2024,Belgrano,1,0,Victoria,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-02-09,1° 2024,Unión,1,3,Victoria,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-02-12,1° 2024,Racing Club,0,4,Derrota,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-02-20,1° 2024,Estudiantes LP,2,0,Derrota,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-02-25,1° 2024,Rosario Central,0,1,Derrota,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-03-03,1° 2024,San Lorenzo,2,2,Empate,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-03-10,1° 2024,Tigre,0,1,Victoria,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-03-15,1° 2024,Platense,0,0,Empate,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-03-31,1° 2024,Sarmiento,0,1,Victoria,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-04-06,1° 2024,Boca Juniors,1,3,Derrota,Local,Mauricio Larriera,0,0,Ignacio Astore,1
2024-04-16,1° 2024,Def. y Justicia,1,0,Derrota,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-05-10,1° 2024,Platense,2,0,Victoria,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-05-20,1° 2024,Vélez Sarsfield,1,0,Derrota,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-05-25,1° 2024,Def. y Justicia,1,0,Victoria,Local,Mauricio Larriera,0,0,Ignacio Astore,0
2024-06-04,1° 2024,Banfield,2,0,Derrota,Visitante,Mauricio Larriera,0,0,Ignacio Astore,0
2024-06-13,1° 2024,Instituto,0,2,Derrota,Local,Adrian Coria,0,1,Ignacio Astore,0
2024-07-19,2° 2024,Barracas Central,0,1,Victoria,Visitante,Sebastian Mendez,0,0,Ignacio Astore,0
2024-07-23,2° 2024,Independiente Riv.,0,0,Empate,Local,Sebastian Mendez,0,0,Ignacio Astore,0
2024-07-27,2° 2024,San Lorenzo,1,1,Empate,Visitante,Sebastian Mendez,0,0,Ignacio Astore,0
2024-08-02,2° 2024,Estudiantes LP,1,4,Derrota,Local,Sebastian Mendez,0,0,Ignacio Astore,0
2024-08-10,2° 2024,Rosario Central,1,0,Derrota,Visitante,Sebastian Mendez,0,0,Ignacio Astore,0
2024-08-16,2° 2024,Racing Club,0,1,Derrota,Local,Sebastian Mendez,0,0,Ignacio Astore,0
2024-08-25,2° 2024,River Plate,0,0,Empate,Visitante,Sebastian Mendez,0,0,Ignacio Astore,0
2024-08-31,2° 2024,Belgrano,0,0,Empate,Local,Sebastian Mendez,0,0,Ignacio Astore,0
2024-09-15,2° 2024,Argentinos Jrs,3,0,Derrota,Visitante,Sebastian Mendez,0,0,Ignacio Astore,0
2024-09-21,2° 2024,Tigre,1,0,Victoria,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-09-27,2° 2024,Riestra,3,3,Empate,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2024-10-05,2° 2024,Lanús,2,1,Victoria,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-10-20,2° 2024,Godoy Cruz,2,0,Derrota,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2024-10-26,2° 2024,Sarmiento,1,1,Empate,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-11-01,2° 2024,Unión,2,0,Derrota,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2024-11-05,2° 2024,Huracán,2,4,Derrota,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-11-09,2° 2024,Gimnasia LP,1,0,Derrota,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2024-11-20,2° 2024,Central Córdoba (SdE),2,3,Derrota,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-11-26,2° 2024,Independiente,0,1,Derrota,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-12-02,2° 2024,Atlético Tucumán,2,1,Derrota,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2024-12-08,2° 2024,Talleres,0,3,Derrota,Local,Ricardo Lunari,1,1,Ignacio Astore,0
2024-12-15,2° 2024,Platense,0,0,Empate,Visitante,Ricardo Lunari,1,1,Ignacio Astore,0
2025-01-27,1° 2025,Central Córdoba (SdE),1,0,Victoria,Local,Mariano Soso,0,0,Ignacio Astore,0
2025-01-31,1° 2025,Defensa y Justicia,0,0,Empate,Visitante,Mariano Soso,0,0,Ignacio Astore,0
2025-02-05,1° 2025,Banfield,1,1,Empate,Local,Mariano Soso,0,0,Ignacio Astore,0
2025-02-09,1° 2025,Instituto,2,1,Derrota,Visitante,Mariano Soso,0,0,Ignacio Astore,0
2025-02-13,1° 2025,Barracas Central,2,0,Victoria,Local,Mariano Soso,0,0,Ignacio Astore,0
2025-02-18,1° 2025,Independiente Riv.,0,1,Victoria,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-02-23,1° 2025,Rosario Central,0,1,Derrota,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-03-02,1° 2025,San Lorenzo,1,1,Empate,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-03-08,1° 2025,Estudiantes LP,0,1,Derrota,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-03-16,1° 2025,Racing Club,1,1,Empate,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-03-22,1° 2025,River Plate,0,2,Derrota,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-03-30,1° 2025,Belgrano,0,1,Victoria,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-04-05,1° 2025,Argentinos Jrs,2,1,Victoria,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-04-13,1° 2025,Tigre,1,1,Empate,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-05-11,1° 2025,Platense,1,0,Victoria,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-05-18,1° 2025,Vélez Sarsfield,2,0,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-05-25,1° 2025,Defensa y Justicia,1,1,Empate,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-06-01,1° 2025,Banfield,1,0,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-06-08,1° 2025,Instituto,2,1,Victoria,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-06-15,1° 2025,Barracas Central,0,0,Empate,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-07-20,2° 2025,Independiente Riv.,2,0,Victoria,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-07-27,2° 2025,San Lorenzo,0,1,Derrota,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-08-03,2° 2025,Estudiantes LP,2,1,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-08-10,2° 2025,Rosario Central,1,1,Empate,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-08-17,2° 2025,Racing Club,0,0,Empate,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-08-24,2° 2025,River Plate,3,1,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-08-31,2° 2025,Belgrano,2,2,Empate,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-09-14,2° 2025,Argentinos Jrs,1,0,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-09-21,2° 2025,Tigre,1,0,Victoria,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-09-28,2° 2025,Riestra,1,2,Victoria,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-10-05,2° 2025,Lanús,1,1,Empate,Local,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-10-19,2° 2025,Godoy Cruz,2,0,Derrota,Visitante,"Cristian ""Ogo"" Fabiani",0,0,Ignacio Astore,0
2025-10-26,2° 2025,Sarmiento,1,0,Victoria,Local,Lucas Bernardi,1,1,Ignacio Astore,0
2025-11-02,2° 2025,Unión,2,0,Derrota,Visitante,Lucas Bernardi,1,1,Ignacio Astore,0
2025-11-09,2° 2025,Huracán,1,1,Empate,Local,Lucas Bernardi,1,1,Ignacio Astore,0
2025-11-23,2° 2025,Gimnasia LP,1,0,Derrota,Visitante,Lucas Bernardi,1,1,Ignacio Astore,0
2025-11-30,2° 2025,Central Córdoba (SdE),1,2,Derrota,Local,Lucas Bernardi,1,1,Ignacio Astore,0
2025-12-07,2° 2025,Independiente,1,0,Derrota,Visitante,Lucas Bernardi,1,1,Ignacio Astore,0
2025-12-14,2° 2025,Atlético Tucumán,1,0,Victoria,Local,Lucas Bernardi,1,1,Ignacio Astore,0
