Presidente,Derrota,Empate,Victoria,Suma total
Eduardo Bermúdez,51,38,48,137
Guillermo Lorente,41,46,56,143
Ignacio Astore,49,36,45,130
Jorge Riccobelli,13,19,5,37
Suma total,154,139,154,447
